BP_from,BP_to,X_S42,Y_S42
7550,1380,3479913,5560049
4800,4450,3428726,5612690
2950,2700,3627124,5506675
6900,6550,3554123,5558792
3200,2950,3434383,5459190
3200,2750,3561757,5539586
2725,2340,3439717,5541405
3200,2950,3464370,5466609
7550,1380,3388508,5579735
3200,2950,3432254,5585411
2070,1988,3440469,5454359
2420,1988,3388829,5573416
7450,6850,3429558,5524127
7550,1380,3425144,5530760
2725,2485,3472252,5558685
6900,6550,3385387,5508989
4200,3550,3436744,5455090
3200,2750,3554983,5533125
2725,1988,3453997,5547158
4200,2725,3483299,5564657
6900,6550,3558088,5570822
3200,2950,3366606,5508904
6900,6550,3554638,5560636
3600,3200,3460298,5468228
7550,6200,3467606,5555984
3200,2950,3518243,5533206
2925,2700,3367457,5497970
2420,1988,3464272,5572445
3200,2950,3384393,5588233
7550,1380,3393328,5488308
6900,6550,3548044,5579767
6200,4200,3449641,5567219
7550,6200,3453990,5539127
6200,4200,3477449,5553220
4200,3550,3478049,5553625
3200,2950,3516704,5538305
7450,6850,3497447,5540922
4200,3550,3416453,5601890
7450,6850,3533317,5525285
3200,2950,3411276,5608686
2420,1988,3481813,5559283
3200,2950,3462745,5536522
6900,6550,3414150,5599809
2925,2700,3365452,5508917
2420,1988,3496440,5554016
6200,4200,3388506,5581864
6200,2725,3432179,5614646
4200,3550,3554011,5541542
2420,1988,3514614,5587374
4200,3550,3457641,5552368
2725,2340,3467706,5572130
7450,6850,3429105,5526721
3200,2950,3530981,5527088
1560,1380,3447856,5554979
1980,1560,3456970,5557377
4450,4200,3528467,5532460
7450,6850,3484106,5555849
2485,2340,3417711,5592127
7550,1380,3479343,5560085
4200,3550,3459399,5584678
7550,1380,3521282,5536558
7550,6200,3497447,5540922
6900,6550,3541606,5559978
5000,4800,3497054,5550903
7450,6850,3521615,5539950
7550,1380,3429498,5526493
7450,6850,3456864,5545674
7550,1380,3482253,5558286
3200,2950,3466079,5557737
7550,1380,3494943,5584461
2070,1988,3457638,5536906
6900,6550,3541958,5560063
2420,1988,3455675,5455801
